sentiment_label,sentence,source
neutral,According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly .,financialphrasebank
negative,"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",financialphrasebank
neutral,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",financialphrasebank
neutral,Land Securities share price: group reveals strong full-year results,headline
neutral,BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,financialphrasebank
neutral,The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,financialphrasebank
neutral,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .,financialphrasebank
negative,"In addition , the company will reduce a maximum of ten jobs .",financialphrasebank
neutral,"Nokia will deliver a WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station to Indosat .",financialphrasebank
negative,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,headline
neutral,Zurich Insurance Considering Offer for UK Rival RSA Insurance,headline
positive,"According to HKScan Finland , the plan is to increase J+�rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",financialphrasebank
neutral,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",financialphrasebank
neutral,"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-�323-�6201 USA .",financialphrasebank
neutral,"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",financialphrasebank
neutral,Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,financialphrasebank
positive,Primark plots expansion in US and Europe,headline
negative,"Failure of leadership' behind Tesco troubles, says former CEO Leahy",headline
positive,"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",financialphrasebank
neutral,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",financialphrasebank
neutral,( The acquisition sum has not been disclosed . ),financialphrasebank
neutral,"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said .",financialphrasebank
neutral,"The Group 's revenue amounts to over EUR 80 million , about half of which is accounted for by exports .",financialphrasebank
neutral,"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",financialphrasebank
positive,`` This is a win for all OEMs targeting to develop WiMAX products .,financialphrasebank
neutral,"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",financialphrasebank
negative,Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,financialphrasebank
neutral,"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",financialphrasebank
neutral,"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",financialphrasebank
neutral,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,financialphrasebank
neutral,Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso 's Russian wood procurement operations .,financialphrasebank
neutral,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,headline
neutral,No financial details were reported .,financialphrasebank
negative,"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",financialphrasebank
neutral,Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,financialphrasebank
neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",financialphrasebank
neutral,Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,financialphrasebank
neutral,The profit after taxes was EUR 57.7 11.1 million .,financialphrasebank
positive,Horizonte acquires neighbouring Glencore nickel property in Brazil,headline
neutral,"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",financialphrasebank
neutral,CRH adds CR Laurence to acquisitions tally for $1.3bn,headline
neutral,"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",financialphrasebank
positive,The company aims to maintain this trend in profitability during the current year .,financialphrasebank
positive,New Morrisons duo get former boss's support to diffuse investor tension,headline
positive,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,financialphrasebank
neutral,Dragonfly Love is another video shot from start to finish using the Nokia N8 .,financialphrasebank
neutral,28 January 2011 - Finnish technology center operator Technopolis Oyj (HEL : TPS1V)said today it will invest EUR22 .5 m in the construction of the second phase of an office facility in Tampere .,financialphrasebank
positive,The court found TelecomInvest 's arguments convincing .,financialphrasebank
neutral,`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet .,financialphrasebank
neutral,"Persimmon makes strong start, but notes pre-election uncertainty",headline
positive,"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",financialphrasebank
neutral,Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .,financialphrasebank
negative,Companies raise less money on London Stock Exchange in 2015,headline
negative,Britain facing winter of blackouts as National Grid warns of tightest power ...,headline
neutral,Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,financialphrasebank
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,financialphrasebank
positive,Ramirent is a leading company in machinery and equipment rentals for construction and industry .,financialphrasebank
neutral,Part of the reductions will be made through retirement arrangements .,financialphrasebank
positive,Activist Fund TCI Backs German Takeover of London Stock Exchange,headline
neutral,MBK Partners closes in on $6bn Tesco Korea deal,headline
positive,The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,financialphrasebank
neutral,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,financialphrasebank
neutral,"The Company serves approximately 3,000 customers in over 100 countries .",financialphrasebank
negative,Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,financialphrasebank
neutral,Also the traditional grapevine carries a lot of weight .,financialphrasebank
positive,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry .",financialphrasebank
neutral,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,financialphrasebank
positive,"By cutting the number of plants , the group will trim fixed costs .",financialphrasebank
neutral,The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds .,financialphrasebank
positive,"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods .",financialphrasebank
neutral,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,financialphrasebank
neutral,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,financialphrasebank
positive,Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,financialphrasebank
positive,"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",financialphrasebank
positive,Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,financialphrasebank
negative,Reed Elsevier shares cool after profit dip,headline
neutral,"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",financialphrasebank
positive,"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",financialphrasebank
positive,Goodwin not to face Scottish prosecution over RBS,headline
positive,The representative body of Swedish Meats approved an improved offer from Finnish HK Ruokatalo to acquire the company .,financialphrasebank
neutral,Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .,financialphrasebank
neutral,The deal will have no significant effect on the acquiring company 's equity ratio .,financialphrasebank
positive,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,financialphrasebank
neutral,Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .,financialphrasebank
neutral,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",financialphrasebank
neutral,This is the company 's first contract abroad .,financialphrasebank
negative,Standard Chartered CEO Peter Sands to Resign After Unrest at Bank,headline
positive,CORRECTED-Shire to buy Dyax for about $5.9 bln,headline
positive,SysOpen Digia had signed an agreement with the main shareholders of Sentera holding in total 77.39 % of the share capital and votes of Sentera .,financialphrasebank
negative,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,financialphrasebank
positive,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",financialphrasebank
neutral,"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",financialphrasebank
negative,This is bad news for the barbeque season .,financialphrasebank
negative,Former Schroders trader sentenced to 2 years in prison,headline
neutral,"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch -� HMI software , IndustrialSQL Server historian , Wonderware Information Server , DT Analyst software or QI Analyst SPC software .",financialphrasebank
negative,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,headline
neutral,The value of the confirmed aircraft orders totals EUR 2bn .,financialphrasebank
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",financialphrasebank
neutral,"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",financialphrasebank
neutral,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",financialphrasebank
negative,Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value,headline
neutral,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,financialphrasebank
neutral,The event can also be viewed as a live webcast at www.cargotec.com .,financialphrasebank
positive,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",financialphrasebank
neutral,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",financialphrasebank
positive,"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",financialphrasebank
neutral,The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,financialphrasebank
negative,"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",financialphrasebank
negative,"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",financialphrasebank
neutral,CompaniesITV's audience numbers fall to lowest in 15 years,headline
negative,MarketsUS industrials lag as Barclays dims view,headline
neutral,"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",financialphrasebank
neutral,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,financialphrasebank
neutral,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,headline
neutral,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",headline
neutral,"The area will also include some central buildings , and Honkarakenne has started negotiations on their delivery .",financialphrasebank
neutral,"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",financialphrasebank
positive,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",financialphrasebank
neutral,"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",financialphrasebank
positive,"Tesco set to sell Kipa, Giraffe businesses - Sky News",headline
positive,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,financialphrasebank
neutral,Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,financialphrasebank
positive,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",financialphrasebank
negative,Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 .,financialphrasebank
neutral,"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",financialphrasebank
neutral,"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 .",financialphrasebank
positive,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,financialphrasebank
negative,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,financialphrasebank
neutral,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",financialphrasebank
negative,Clydesdale Bank H1 profits weighed down by PPI charge,headline
neutral,"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people .",financialphrasebank
positive,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",financialphrasebank
positive,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,financialphrasebank
positive,Sainsbury's and Glencore give FTSE a three-digit lift - London Report,headline
neutral,The company had hoped the new plant would be on stream by the end of 2008 .,financialphrasebank
negative,Meggitt plc Crashes 20% On Profit Warning: Is It Now A Buy?,headline
neutral,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",financialphrasebank
positive,"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",financialphrasebank
positive,"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",financialphrasebank
neutral,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,financialphrasebank
neutral,Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,financialphrasebank
neutral,"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",financialphrasebank
negative,HSBC Says Unit to Book $585 Million Charge on Settlement,headline
positive,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",financialphrasebank
neutral,The machines will cease production by the end of February 2007 .,financialphrasebank
neutral,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",financialphrasebank
negative,CompaniesKingfisher bid for Mr Bricolage runs into trouble,headline
neutral,"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media .",financialphrasebank
positive,GSK and Novartis complete deals to reshape both drugmakers,headline
neutral,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",financialphrasebank
positive,"firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum .",financialphrasebank
neutral,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,financialphrasebank
positive,"The recovery of demand that started toward the end of 2009 , continued in January-March 2010 .",financialphrasebank
neutral,No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,financialphrasebank
neutral,REFILE-RPT-Beer mega merger faces jobs battle in SABMiller's birthplace,headline
positive,One of Uponor 's promising future products is a hydronic cooling system .,financialphrasebank
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",financialphrasebank
neutral,The agreement is valid for four years .,financialphrasebank
positive,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,headline
negative,Gabon Considering Back Tax Penalties Against Royal Dutch Shell,headline
neutral,Raisio is the site of the main production plants as well as company headquarters .,financialphrasebank
negative,UPDATE: Aggreko Interim Profit Drops As It Undertakes Restructuring,headline
positive,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",financialphrasebank
positive,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,financialphrasebank
negative,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,headline
negative,"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",financialphrasebank
negative,The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,financialphrasebank
negative,"`` This is super nasty , '' said Eric Schultze , chief technology officer at Shavlik Technologies LLC , a St. Paul , Minn.-based maker of patch management tools .",financialphrasebank
positive,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,headline
positive,Glencore fight back over debt fears lifts shares,headline
neutral,"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",financialphrasebank
neutral,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",financialphrasebank
positive,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,headline
neutral,"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",financialphrasebank
positive,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,financialphrasebank
neutral,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,financialphrasebank
positive,The aim is to increase sales by at least one fifth in 2006 .,financialphrasebank
neutral,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,headline
positive,UPDATE 1-GSK-linked investigator freed early from China jail - source,headline
positive,Total operating revenue grew by 27.6 % year-on-year to EUR61m .,financialphrasebank
neutral,The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,financialphrasebank
positive,At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,financialphrasebank
negative,BP asks for lower fine in penalty phase of Gulf spill trial,headline
negative,"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",financialphrasebank
neutral,Also the development of online businesses will continue .,financialphrasebank
positive,Is It Worth Investing In Tesco PLC And Prudential plc Now?,headline
negative,Unilever Continues to Battle Soft Demand,headline
neutral,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",headline
neutral,"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",financialphrasebank
negative,AB InBev attacks SABMiller bid rebuffal,headline
positive,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,financialphrasebank
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",financialphrasebank
positive,UPDATE 1-Britain's Tullow says makes new oil find in Kenya,headline
positive,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",financialphrasebank
negative,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",financialphrasebank
neutral,"Addus ' services include personal care and assistance with activities of daily living , skilled nursing and rehabilitative therapies , and adult day care .",financialphrasebank
neutral,"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",financialphrasebank
positive,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",financialphrasebank
neutral,CompaniesRoyal Mail revenues drop despite boost in parcels,headline
positive,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,financialphrasebank
neutral,"The other actions include the cutting of the expensive weekend shifts , the freezing of the production bonus system and by a general cost-cutting program .",financialphrasebank
neutral,"ALEXANDRIA , Va. , March 20 -- Patrik Flykt and Timo Alakoski , both of Helsinki , Finland , and Tapio Suihko and Nadarajah Asokan , both of Espoo , Finland , have developed a method of mobility support of Internet-type protocol traffic in a communication system .",financialphrasebank
neutral,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,financialphrasebank
neutral,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,financialphrasebank
neutral,AB InBev looks to win over SABMiller investors,headline
neutral,Standard Chartered may see white knight takeover on painful recovery: CLSA,headline
neutral,WPP wins race for 'programmatic buying' agency Essence Digital,headline
neutral,Tesco share price: Grocer and peers to step up branded products cull,headline
neutral,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,financialphrasebank
neutral,"When cruising , the revs fall as less engine output is required .",financialphrasebank
neutral,"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",financialphrasebank
neutral,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",financialphrasebank
neutral,"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",financialphrasebank
neutral,Underground parking facilities will also be built on the basement floor .,financialphrasebank
neutral,"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",financialphrasebank
neutral,"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",financialphrasebank
neutral,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",financialphrasebank
neutral,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",financialphrasebank
neutral,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,financialphrasebank
neutral,"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",financialphrasebank
negative,"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 .",financialphrasebank
negative,"FTSE hits three-week low as financials, Tesco fall",headline
negative,"GlaxoSmithKline heart drug flops in study, shingles vaccine on track",headline
positive,Estonia 's beer market overall grew three percent last year to 130 million liters .,financialphrasebank
neutral,"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",financialphrasebank
positive,"Britain's FTSE gains, Land Securities up after dividend hike",headline
positive,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",financialphrasebank
neutral,Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,financialphrasebank
positive,MarketsBP promotes upstream boss to deputy CEO,headline
positive,"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",financialphrasebank
neutral,"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",financialphrasebank
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",financialphrasebank
neutral,"Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005 .",financialphrasebank
negative,Industry NewsStrong results at Travis Perkins marred by plumbing impairment,headline
neutral,The adjustment measures will be carried out in phases to secure the delivery capability .,financialphrasebank
neutral,SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,financialphrasebank
positive,"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki .",financialphrasebank
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",financialphrasebank
neutral,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",financialphrasebank
negative,"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",financialphrasebank
positive,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",headline
neutral,"- The Group -� s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",financialphrasebank
positive,Stars aligned' for AB InBev's megabrew merger plan,headline
negative,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",financialphrasebank
neutral,The transaction will take place without payment of merger consideration .,financialphrasebank
negative,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",financialphrasebank
