sentiment_label,sentence,source
neutral,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",financialphrasebank
neutral,"YIT acquired investment rights to a 10,000 square metre residential project in Yaroslavl and to a 16,400 square metre project in Moscow .",financialphrasebank
positive,"Tesco set to sell Kipa, Giraffe businesses - Sky News",headline
neutral,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,headline
neutral,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,headline
neutral,Spain's Caixabank launches new takeover bid for Banco BPI,headline
neutral,"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .",financialphrasebank
positive,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,financialphrasebank
neutral,Royal Dutch Shell profit rises; dividend up 4%,headline
neutral,The orders also include a few high-power drives for the control of seismic compressors .,financialphrasebank
positive,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,financialphrasebank
neutral,"Royal Mail ""breached competition law"" over delivery service changes, Ofcom claims",headline
neutral,In return the New York-based private equity firm will receive a 51 % stake in the Latvian IT and telecom group .,financialphrasebank
neutral,"In the second quarter of 2009 , net sales through operator business partners represented 47 % of the Group 's total net sales .",financialphrasebank
neutral,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",financialphrasebank
neutral,The company will release its 2010 results on 11 February 2011 .,financialphrasebank
negative,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,financialphrasebank
neutral,The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,financialphrasebank
neutral,The Court 's decision will also promote genuine competition in services,financialphrasebank
neutral,"Barclays boss McFarlane seen speeding asset sales, cost cuts",headline
positive,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",financialphrasebank
neutral,"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",financialphrasebank
positive,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",financialphrasebank
positive,28 October 2010 - Finnish wood products technology supplier Raute Oyj HEL : RUTAV said today it swung to a net profit of EUR3m for the first nine months of 2010 versus a net loss of EUR5 .2 m for the same period a year earlier .,financialphrasebank
positive,Mr Kivimeister said John Deer former Timberjack stands to win in the situation : it controls around 60 % of Estonia 's forest machinery market .,financialphrasebank
neutral,"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",financialphrasebank
neutral,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,financialphrasebank
neutral,"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .",financialphrasebank
positive,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,headline
neutral,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",financialphrasebank
neutral,"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",financialphrasebank
neutral,"This one was at one time targeted for June 5 , but if we had to guess , it 's been pushed back -- maybe we 're crazy , but we feel like it has n't leaked enough to meet that date at this point .",financialphrasebank
positive,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,financialphrasebank
neutral,"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",financialphrasebank
positive,Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,financialphrasebank
neutral,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",financialphrasebank
neutral,Performance is based on values and sustainability .,financialphrasebank
neutral,The company expects to open its first online shop in the US in the summer in 2011 .,financialphrasebank
negative,Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,financialphrasebank
neutral,Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,financialphrasebank
neutral,It was decided that the auditors are reimbursed according to invoice .,financialphrasebank
positive,This will bring cost savings of about EUR 3mn a year .,financialphrasebank
neutral,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,headline
neutral,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,financialphrasebank
neutral,Union and company officials did not return calls yesterday .,financialphrasebank
positive,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",financialphrasebank
negative,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",financialphrasebank
positive,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",financialphrasebank
neutral,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",financialphrasebank
negative,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,financialphrasebank
negative,Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions,headline
negative,US walrus protections hit Shell's Arctic drilling plan,headline
neutral,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",financialphrasebank
positive,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",financialphrasebank
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",financialphrasebank
neutral,"Also , a seven-year historic analysis is provided for these markets .",financialphrasebank
neutral,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,financialphrasebank
neutral,The company has an annual turnover of EUR32 .8 m.,financialphrasebank
neutral,Delivery will start immediately in June 2008 and will be completed in 2008 .,financialphrasebank
positive,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,headline
neutral,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",financialphrasebank
neutral,The first group of customers to be trained will be paint-shop owners and their assistants .,financialphrasebank
neutral,"This will be done domestically and in neighboring markets , both organically and through acquisitions .",financialphrasebank
neutral,The new SEPA cads will replace Finnish bank cards .,financialphrasebank
negative,CompaniesKingfisher bid for Mr Bricolage runs into trouble,headline
neutral,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,financialphrasebank
neutral,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",financialphrasebank
neutral,He will report to CapMan Plc 's CEO Heikki Westerlund .,financialphrasebank
positive,"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",financialphrasebank
negative,Sainsbury chief warns of squeeze on high street retailers,headline
positive,Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,financialphrasebank
neutral,CommentOpening Quote: Tesco; Premier Foods jilted; FCA on IPOs,headline
neutral,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,headline
positive,"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .",financialphrasebank
neutral,"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",financialphrasebank
positive,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks,headline
neutral,National sponsors for The Big Read include National Endowment for the Arts in cooperation with the Institute of Museum and Library Services and Arts Midwest .,financialphrasebank
neutral,"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",financialphrasebank
neutral,"A local waste management company , Turun Seudun J+�tehuolto , has planned to set up a 150,000 tonne waste-burning facility .",financialphrasebank
positive,Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,financialphrasebank
neutral,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",financialphrasebank
positive,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",financialphrasebank
neutral,Associated British Foods raises guidance as sterling wilts,headline
positive,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",financialphrasebank
positive,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,financialphrasebank
negative,"That 's what I go to bed worrying about every night , ' he said .",financialphrasebank
neutral,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,financialphrasebank
positive,"CompaniesTravis Perkins lifts dividend, earnings rise 15%",headline
positive,"According to Bosse , the present cooperation is beneficial to all parties , however .",financialphrasebank
neutral,"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .",financialphrasebank
positive,"FDA approves NPS drug, in move validating Shire takeover deal",headline
positive,"News FeedSchroders books solid earnings growth, several board changes",headline
positive,"According to HKScan Finland , the plan is to increase J+�rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",financialphrasebank
negative,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",financialphrasebank
positive,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",financialphrasebank
neutral,Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,financialphrasebank
neutral,"The firm 's UK head office is in Rugby Road , Lutterworth .",financialphrasebank
neutral,"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",financialphrasebank
neutral,Sales fell abroad but increased in Finland .,financialphrasebank
neutral,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country .",financialphrasebank
positive,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",financialphrasebank
neutral,Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,financialphrasebank
neutral,"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",financialphrasebank
negative,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",financialphrasebank
positive,Is It Worth Investing In Tesco PLC And Prudential plc Now?,headline
positive,"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .",financialphrasebank
neutral,"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 .",financialphrasebank
negative,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,financialphrasebank
negative,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",financialphrasebank
positive,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,financialphrasebank
neutral,"GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province .",financialphrasebank
positive,Tesco Mobile is offering you cash back in exchange for looking at ads,headline
neutral,Net sales in 2007 totalled EUR 329 million and the operating margin was over 19 % .,financialphrasebank
neutral,Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',financialphrasebank
negative,Australian mining slowdown hits Aggreko,headline
positive,"The most loyal customers were found in the Bank of +_land , with an index of 8.0 .",financialphrasebank
positive,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",financialphrasebank
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",financialphrasebank
neutral,Standard Life and Old Mutual join CII push to professionalism,headline
positive,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,financialphrasebank
positive,"We'd support HSBC leaving London, says Standard Life",headline
neutral,"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",financialphrasebank
negative,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",financialphrasebank
negative,"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",financialphrasebank
negative,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",financialphrasebank
neutral,Raisio is the site of the main production plants as well as company headquarters .,financialphrasebank
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,financialphrasebank
neutral,1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,financialphrasebank
positive,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",financialphrasebank
positive,"`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .",financialphrasebank
neutral,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",headline
neutral,Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,financialphrasebank
neutral,Exclusive: Barclays reins in foreign exchange trading before referendum result - sources,headline
negative,"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",financialphrasebank
neutral,Who will make the perfect match in Morrisons' bizarre love triangle?,headline
negative,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",financialphrasebank
positive,"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",financialphrasebank
positive,Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,financialphrasebank
positive,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .",financialphrasebank
positive,The company expects its net sales in the first half of 2008 to reach the previous year 's level .,financialphrasebank
positive,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,headline
neutral,"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",financialphrasebank
neutral,Kemira 's partner in the project is St. Petersburg Water Works .,financialphrasebank
negative,Finnish media group Talentum has issued a profit warning .,financialphrasebank
neutral,"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",financialphrasebank
neutral,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",financialphrasebank
positive,"According to M-real 's CEO , Mikko Helander , this transaction will enable the company to proceed swiftly with its restructuring program .",financialphrasebank
positive,"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",financialphrasebank
negative,BP slashes capital spending by 20%,headline
neutral,"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",financialphrasebank
neutral,"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",financialphrasebank
neutral,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,financialphrasebank
neutral,"The other actions include the cutting of the expensive weekend shifts , the freezing of the production bonus system and by a general cost-cutting program .",financialphrasebank
negative,"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",financialphrasebank
negative,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",financialphrasebank
negative,Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,financialphrasebank
neutral,"We have sound experience of project deliveries for large multi-purpose complexes and sports arenas '' , says Sami Eronen , SVP , Infrastructure and Northern Europe , Ruukki Construction .",financialphrasebank
negative,5 Years After BP Spill: What's Changed in Offshore Drilling,headline
positive,"There has been some recovery of the base metals prices and increased demand for metals in China , however .",financialphrasebank
neutral,The medium-term operative targets of the company remain unchanged .,financialphrasebank
neutral,Germany lags European share rally as Volkswagen scandal widens,headline
neutral,Morrisons share price: CEO raises shareholding,headline
positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",financialphrasebank
positive,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,financialphrasebank
neutral,"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",financialphrasebank
positive,UPDATE 1-GSK-linked investigator freed early from China jail - source,headline
positive,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",headline
neutral,Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,financialphrasebank
positive,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,financialphrasebank
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,financialphrasebank
positive,HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant .,financialphrasebank
positive,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,financialphrasebank
positive,"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",financialphrasebank
positive,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",financialphrasebank
negative,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,headline
negative,Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,financialphrasebank
neutral,"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",financialphrasebank
neutral,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",financialphrasebank
neutral,S&P downgrades Barclays and RBS on government bailout fears,headline
neutral,"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",financialphrasebank
negative,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,headline
neutral,Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,financialphrasebank
positive,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,headline
positive,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,headline
neutral,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,financialphrasebank
positive,"Dubbed Nokia Money Solutions , company officials say the initiative would seek to bridge the gap between the banked and unbanked in developing countries .",financialphrasebank
positive,"Finnish construction group YIT has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany .",financialphrasebank
positive,UPDATE 1-Pearson expects to grow this year after solid end to 2014,headline
negative,Former Schroders trader sentenced to 2 years in prison,headline
neutral,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,financialphrasebank
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",financialphrasebank
